id_proposicao_leggo,casa,casa_origem,sigla
12f28dc3e6767581d500f998267aad4e,camara,camara,PL 3497/2020
4b5f3d3898b274c4705dc9d32a90ee84,camara,camara,PL 1443/2020
2b084b40680b87ebc5aa92b5385c71ec,camara,camara,PLP 137/2020
2bd49015a2f02da38beab1e1cdb1bc19,camara,camara,PDL 87/2020
e816fa8da8145c5f9f23d3a5eb996ffc,camara,camara,PL 2000/2020
1bc2466959107dd5a13fd523afd2ffa3,camara,camara,MPV 996/2020
7d2c2c9c296b17e9d676b687682d2985,camara,camara,PL 725/2020
0abc27ed12e0b55914f8081f29e1dadd,camara,camara,PL 2783/2020
8f93cdbdb0853a45c05c70e825858def,camara,camara,PL 2634/2020
b68f6497d17e9ac45153528c300df7ed,camara,camara,PL 1768/2020
262fb68abec6bf8e898f7372ffd230ec,camara,camara,PL 675/2020
5d74ac6d319696442fe563d3bbcbd01a,senado,senado,PL 3160/2020
23b342a1cb2bfffb4b4848efc90de399,camara,camara,PL 4000/2020
903892d4fedbb18d5aba8f1d95ff1f9c,camara,camara,PL 2636/2020
fb8e85db193719cf7cd5c67d7941ad4f,camara,camara,PL 3671/2020
360cc6fb27de6b1b69762a1083c6b816,camara,camara,PL 2960/2020
1d1fe2d1c5a4ed2ce58149a728417ca8,camara,camara,PL 1482/2020
b9068c25615734e86ce728c69fd2cf94,camara,camara,PL 1813/2020
8719e735f24c060fc7a8509e42535459,camara,camara,PL 3913/2020
8d5c6e471846cc8fb5c16ef8752e6800,camara,camara,PL 2182/2020
ff8b79509cb21c060b52a97fd4a10930,camara,camara,PL 2550/2020
0b2fe98e1c53afbfd2c776bfc91f27c3,camara,camara,PL 1148/2020
1bd6406ffe5445ee9ff14c1ef0875949,camara,camara,PL 3472/2020
4ec063c38f7072f5ebc9a1cf5bc650a7,camara,camara,PL 3107/2020
03eaf3351ec36501a953226d416cdc50,camara,camara,PL 1251/2020
f78a7b220e57f35010658203d94cfcc4,camara,camara,PL 2477/2020
66f549633daab0c2a3bc11a27545da7f,camara,camara,PL 1771/2020
9943b36b4e9f00ce624e523193c4680a,camara,camara,PL 1765/2020
5e6e5476f7d00e0cd38bc8442b8cca68,senado,senado,PLS 51/2016
f47c9b32e81b2003e5cb309c3e3e00ad,camara,camara,PL 3198/2020
3b01325f8248243bfa5efccf0b6bcda4,camara,camara,PLP 184/2020
efa866cc139ba3772d7c4a738e6fc052,camara,camara,PL 3627/2020
b45c908eebe01019727461ef9e146cf6,camara,camara,PL 1639/2020
4492ccf132e8c3ddb2a0ab1a17f9071d,camara,camara,PL 1142/2020
0d463b54b5911bbc8b433f801c986c3a,camara,camara,PL 1371/2020
e106ba1f07c256114d8e91491a512415,camara,camara,PL 2474/2020
68040b63c6c4c870f0b0f2c5475516f7,camara,camara,PL 744/2020
95e0ebb320a29ccd476dc92add424f49,camara,camara,PL 999/2020
690e4f9baf01f30ba207f2b0c496f627,camara,camara,PL 1249/2020
578e1330c41b76a1acd73725a0bd547a,camara,camara,PL 1434/2020
b86f22331b78e60f8f1c4c7ae7e7a37b,camara,camara,PL 2331/2020
aee393fed9fda65ad29412b4dd9dcd3b,camara,camara,PL 3572/2020
aaef91922cf5e7a088f8d9a4abd80776,camara,camara,PL 1562/2020
3160102fad5e44770177b03a38c8229b,camara,camara,PL 1458/2020
594002fb34ba292b5afbf1a35477b5ce,camara,camara,PL 1818/2020
8a59f3d5153da8df1a103802dbf4a554,camara,camara,PL 993/2020
73eb8a5db8fa68d9fb642ea5b5923c4a,camara,camara,PL 1132/2020
9c7c55657770d567d21d0d73374a801d,camara,camara,PL 2389/2020
8c64c907761438f01638e41fcb28d0ab,senado,senado,PL 1328/2020
031d150d5277001238c53ca42a0ebd91,camara,camara,PL 705/2020
ade2d7bbfeb44da4539bdb62ca93e9eb,senado,senado,PL 1886/2020
1748ee8fbd4f3140dc8d5af18d1b0927,camara,camara,PL 1906/2020
d24d71859c8cb4b0e07fe703030728fb,camara,camara,PL 1955/2020
f75ab1bfa73e995e4d5c16f450788e35,camara,camara,PL 3102/2020
781448d04ddb467ee6c2e48bf14e28d7,camara,camara,PL 1940/2020
e1e4186a587f29a0e6e91fd611b13900,senado,senado,PL 1006/2020
75a1da0a082cb8c60b964b93ea147ea4,camara,camara,PL 2068/2020
ebee2b6b39cb39d04b3668ee4177987b,camara,camara,PL 1673/2020
4cad8db7e6edfe62d31aae06c8aca763,camara,camara,PL 667/2020
ac0895d39170e55f4291d527a06f71fc,camara,camara,PL 3961/2020
d8284da248b0f0f0a480f17d395f373b,camara,camara,PL 1643/2020
55bf4970c56b6757e07a8ea59db6bc27,camara,camara,PL 895/2020
8a8931491373fe02d7f3619053002645,camara,camara,PL 2500/2020
8f7e86d3feb94a434b529c72db29d8ea,camara,camara,PL 2633/2020
812f6149a3a74434aff867d61a32ce30,camara,camara,PL 1013/2020
99322057d665d20633cbd0d401de297c,senado,senado,PLS 4/2018
ca767b6c7158405183482f7ff0b7f1f4,camara,camara,PL 1767/2020
b5853b72aa7feb79b13bec97f0ecb854,camara,camara,PL 3471/2020
8940fd56096aaf713413fa46810c6b6d,camara,camara,PL 2202/2020
5a94ce78bce79174c506f11954891dce,camara,camara,PL 1367/2020
d8b09a178519142dd048addc63672b33,camara,camara,PL 2055/2020
0ce3875f857ba2244559639440563080,camara,camara,MPV 966/2020
5bcd2929d9a16256cec3151eace32673,camara,camara,PL 2168/2020
dfb9079d68d7469953b8b9d384fdae7a,senado,camara,MPV 960/2020
4d7a4255484b2fedc93fbb0526415d8a,camara,camara,PL 2605/2020
3e8950044cb3764f05e0a1ad2456d734,camara,camara,PL 2294/2020
5ba45d75436610f1162933c8bbe5c766,camara,camara,PL 3807/2020
e7017bc39c5f3b08faf3b23d1c37d0e8,camara,camara,PL 1677/2020
870f208aac3f2ab198e962849fca98ad,camara,camara,PL 2163/2003
566ada6cc1ae0f02da82dc63749d39ad,camara,camara,PL 3410/2020
31cd425df4e4b32234337d3db1df53b4,camara,camara,PL 2863/2020
5dd79958352dd27b9c1f88310450431c,camara,camara,PL 3144/2020
d658ba500108671edef3dbe354b1ccab,camara,camara,PL 2198/2020
a70f71abccd6b13c8242d76e33665f53,camara,camara,MPV 944/2020
8b9e6a33b0d10d5aa10bd36cef680448,camara,camara,PL 1095/2020
641ec7a093b6f555508bdadbd2fcb0d4,camara,camara,PL 1630/2020
5af016a3e9d7b708ded414a81084870a,camara,camara,PL 1791/2020
0d401227e9bba835c4d40afd15b37012,camara,camara,PL 1376/2020
7a9508af5c5a98a2a3bd0976b6548cff,camara,camara,PL 1083/2020
726ec9ec39c3540adfd5bb96ffd9f2b3,camara,camara,PL 2272/2020
52fbfc4217000a8260578510bba8800f,camara,camara,PL 1485/2020
75bfe7225fcdfbb19530f334b3350229,camara,camara,PL 2230/2020
16431d7a9f3e2ab42488d99b91d07cdb,camara,camara,PL 1409/2020
7360567ae7ad3f6076579d2f97245905,camara,camara,PL 2273/2020
2a2996adfb7bb68409004d0ea31c36b1,camara,camara,PL 1305/2020
70bf5c3f1efa7a5f875c455808b35bb7,camara,camara,PL 10756/2018
347381c5556fd4759ee832bd9bfc283a,camara,camara,PL 2438/2020
9f90ec4b984f15216bb5bf4374687f85,camara,camara,PL 8323/2017
fdc4efd0e88c2b4ef47bae29505eb2ec,camara,camara,PL 1176/2020
be1147b8b7c577d27417b52a857358b1,camara,camara,PL 2280/2020
2a50bb65eebeab67ea590f1abdcb9e52,camara,camara,PL 3516/2020
92c6b29edab90b757b76e897c6ea4397,camara,camara,PL 1111/2020
f49d457fb826ff0a6cda6891304655f4,camara,camara,PL 2339/2020
c1f7e1d7c38d14deb9c05c63a8a7055e,camara,camara,PL 1713/2020
08804072286131329064a4cf8034cd3d,camara,camara,PL 2854/2020
80a48e587ef38ef2700ca5f5c28b6546,camara,camara,PL 3810/2020
9c9d48d8034dde3347e19fe91835a8f9,camara,camara,PL 4070/2020
d84ec50ac4f4d09d1c644de71c4d89d3,camara,camara,PL 3110/2020
cd5509fda935920ad75c1e1a1c0695a9,camara,camara,PL 2283/2020
3c34c0ccb27e0973b3e7738bb4279133,camara,camara,PL 3106/2020
f941fd281a343b039e9c5e14dffa965b,camara,camara,PL 4199/2020
ce768bb965a4b3f6c4f86622714c0dfb,camara,camara,PL 827/2020
60098c5d3c9fb9f1331d522f6a3858e3,camara,camara,PL 1694/2020
655f5b2623bc5c29c3738daab5ae9edd,camara,camara,PL 1779/2020
91b600543e71ff88985790b3f2fe6552,camara,camara,PL 1975/2020
fe7cfbab57365f881a499a0d4d95377f,camara,camara,PEC 15/2015
a627bb69f7536fb659585a9853b2f845,camara,camara,PL 1982/2020
75a797889d0b514533e85a44e5397ab4,camara,camara,PL 2420/2020
91a88ffb2c4e277374d9f328e9b20eb3,camara,camara,PL 2976/2020
203ae821fd25756d66f5961f719be16a,camara,camara,PL 1665/2020
4eba6f6a5d5c2f02ef087d755b655dda,senado,camara,MPV 984/2020
c92c80e074f10551869e6c579bb1bb94,camara,camara,PL 976/2020
0e704c59e0ad27e33691d2c0fb5cdac8,camara,camara,PL 3223/2020
f1af89995a2a6dedc8e583d577bc9276,camara,camara,MPV 949/2020
8e449c5e91777d7db4697f371e2d7d5d,camara,camara,PL 1678/2020
5175aa16260ec51c9638958b632adcb3,camara,NA,PEC 391/2017
659fb8d260231dc5f5a5b119abad355e,camara,camara,MPV 941/2020
4628d5f73312ee879ed458498c5c6ec0,camara,camara,PL 3170/2020
2466458ef071de3a0bba5d196e21b115,camara,camara,PL 2957/2020
654c33d3605f5dc7361215b8d4c29b97,camara,camara,PL 1271/2020
af16109dbff04dd098cf77cfbd9822e4,camara,camara,PL 1411/2020
e087a128b8355eb9cacbd934f657ee2b,camara,camara,PL 1888/2020
cf4ccb869f69d017e735cd1c65d394c6,camara,camara,PL 1553/2020
fe778ee716d829a1782b267dc8d4206a,camara,camara,PL 2278/2020
cbcba24652a43dbe673f50308fc918d2,camara,camara,PL 2657/2020
b81c2e2dca7a3b65597f15fcd29e4f65,camara,camara,PL 3930/2020
2d3f7dcbde06c0a4f88f04216b0d4967,camara,camara,MPV 942/2020
0e5dd89a764d7f9ec6bffc62e6a0e0ef,camara,camara,PL 3730/2020
7f622b17a6478422cb15a9f00c3e9287,camara,camara,PL 5266/2019
c1e0e6e08115596ecefde4b56c3acc93,camara,camara,PL 1115/2020
811e9a7c8975e7edfcf9f0dbee83d981,camara,camara,PL 3131/2020
f4fb6e16db2224236ea591e12f036a3e,camara,camara,PL 1903/2020
490d8bafb1f613c96c4a5fbd56db931e,camara,camara,PL 6054/2013
1507a1edb062b3a7708253a0532c46a0,senado,camara,MPV 976/2020
420f9da84ea8651f08126753c798aeb6,camara,camara,PL 1432/2020
dc8a47d3e5d56251f1d0f01e9558c83e,camara,camara,PL 4097/2020
a8c14542283fc3ae070936db80e96f53,senado,senado,PL 873/2020
4a74aa77ad50b8e5bc406ab2485d8936,camara,camara,PL 3367/2020
05df5bbba83734ef98febca75a691818,camara,camara,PL 611/2020
9d362bc498315364b3f36c322a7ca849,camara,camara,PL 4811/2005
511837233092bcc43beb153d9b6de357,camara,camara,PL 2423/2020
22c76e6b7abdf0cf9b2337ef39e9eaf0,camara,camara,MPV 948/2020
aec2459e9c8fca94352e04a2e934e027,camara,camara,PL 8518/2017
0bbd26eba72478c506ccef3f6be66b2d,camara,camara,PLP 36/2019
7c754ff2d742e92d3405f1832bea3cd6,camara,camara,PL 2250/2020
3270b94d1143b04e4f3ff3e165e8ebd4,camara,camara,PL 2811/2020
e4aad2327720ccbf7c8250365a1b16ff,camara,camara,PDL 310/2020
1e036b9ab9a2f7914043632e7e4d6660,camara,camara,PL 696/2020
9528f3e5fa03fc09bb7466f48f447ea6,camara,camara,PL 1113/2020
62faf10bca22df6a9cd4e3339fa392a4,camara,camara,PL 2559/2020
26af75738c807832db568914415bb9c0,camara,camara,PL 1076/2020
d68c2f3c22492b0b69503bf5af16eb25,senado,senado,PEC 233/2019
d7f02b884c1ef0f1cf52c10175176d75,camara,camara,PL 2270/2020
b37cb0bcc90da4930e8c49668bf2caf2,camara,camara,MPV 925/2020
0b211f215637c149b722ac475f57c6f0,camara,camara,PL 2013/2020
ea1ced2df5c20fc16e17ee090433b2f6,camara,camara,PL 1671/2020
afd344bac886162275b6e8530db6f9d8,camara,camara,PL 2337/2020
2b04c7d3b72b0b15bffff99a8ba77725,camara,camara,PL 3809/2020
afb0a832c0c9920c9430af64a2e59904,senado,camara,MPV 964/2020
684667fd59de25ad8e62a70ddf9d7594,camara,camara,PL 1859/2020
bcc1c87c3103cdddac1eb5844d11a818,camara,camara,PL 2206/2020
9cccc1c5df87836c6d2319ae0cae5998,camara,camara,PL 2059/2020
83e0c321e766943ab3d74dc0f1029655,camara,camara,PL 978/2020
e74370deaa33db747ec90bfe61f1ab9e,camara,camara,PL 3866/2020
5657a9a477dcece35988d1a98a3ffaf8,camara,camara,PL 1564/2020
9cc39bc2b73e450095983bfd19d7647a,camara,camara,PL 3179/2012
aa12140713f2dc0dda21736e1e8d9e1c,camara,camara,PLP 177/2020
cb7dd75ac894f83a5539385e9ab7e391,camara,camara,PL 1835/2020
bd002372397ef11113ba41fe8c4ec1a6,camara,camara,PL 2979/2020
fc17d05aed3de0ba7940b0558cb7c114,camara,camara,PL 984/2020
06028c483eee8f3314c88c98473cb40d,camara,camara,PL 3161/2020
353789166b9a38339234931bcd6c35ca,camara,camara,PL 787/2020
4471047212ada59223aa2627730e2752,camara,camara,PL 2444/2020
a42342a1527adc5b8d27970347957e8a,camara,camara,PL 1784/2020
9e8fb7e6a0190de22808b6b4c77e5f62,camara,camara,PL 1460/2020
7712619f4e808c1346c633c379da5f99,camara,camara,PL 3805/2020
74dc1d8875af5dffa1a2f4f57e2eb7dd,senado,senado,PL 1194/2020
8dc37343e91b0ef2387c24db4a23fcb5,camara,camara,PL 2909/2020
31f596f06bbc076bb6160d98244ae9a4,camara,camara,PL 2138/2020
1f91e9eaad9732b2ace2e8589b8b7b2f,senado,senado,PLS 301/2016
8906a280704dd1c8e707d778cea2ff0e,camara,camara,PL 2137/2020
203683d493c5146256d297c5dd7631fb,camara,camara,PL 1424/2020
f0e3304ac8133788bd975bed30d72060,camara,camara,PL 6162/2019
b2ae56cdec6ed79aced0fc616298d073,camara,camara,PL 3337/2019
9246a2841eb5c14c0053fdc815a743f1,camara,camara,PL 4749/2016
60fb68843a26c6b8333f0443ff8d2531,camara,camara,PL 2462/2020
1ebaa95e786a018aec8954f5bf7077f1,camara,camara,PL 2281/2020
76b53f74f77ad2b3938e678096824a3a,camara,camara,MPV 943/2020
e3521cc574af3f19a717ccbe678cf352,camara,camara,PL 995/2020
2dacd7681aea10ca3cf876bd63575118,camara,camara,PL 1129/2020
4e5828fbb0bb5c451a3629f6f4a5aa35,camara,camara,PL 1175/2015
5c4ae565e6e7071721df78ccfc86b4bd,camara,camara,PL 1455/2020
7d47cc407b181717f57da99b9692bc57,camara,camara,PDL 82/2020
ac9c4a07dc7db4e112710e6f15e5d33d,camara,camara,PL 1780/2020
970b4b5e848e76a4803834281c27cfa6,camara,camara,PL 1608/2020
01f8f801b6689cc8c13d3501a0ca2a74,camara,camara,PL 3246/2020
44ba83428012bba35d71435ae92a3813,camara,camara,PL 2306/2020
5e51fd41a5c1760fdd6f57bd0b0fcad1,camara,camara,PLP 49/2020
1ee65c0cc3bfb18dfde834c5f48776a8,camara,NA,PL 641/2020
0dac48909818f4d8b5c832ffe366d45d,camara,camara,PDL 168/2020
079e21a1b805d68296aa83cdc19877d0,camara,camara,PL 660/2020
99e862a8e3be76d293e3a15f7bcb251e,camara,camara,PL 2180/2020
b892a8c36c3f4991aff0bfcea06472f0,camara,camara,PL 1262/2020
5df214a2ef8523502be26346d34696f4,camara,camara,PL 1158/2020
ec3475babecfd2b6bd18cced6ae3a297,camara,camara,PL 1703/2020
79ec0ae8bb031d02f5bfb8f85e1cf5e3,camara,camara,PL 915/2020
163de04ed290511d49e6d6cdb09d89d5,camara,camara,PL 1159/2020
f3650a7f244c863c16512591370c454d,camara,camara,PL 3232/2020
7e87117e1b381387de9c875142f9dd25,camara,camara,PL 2603/2020
1ec08004053e3d1cd37563b23d26334d,camara,camara,PL 1909/2020
9dca762a5d24c9643c21b3687257c01b,camara,camara,PL 956/2020
3ecb56c86c23bb46cdd277e675b48b5f,camara,camara,PL 3220/2020
4baddd3a19747de6261783e6ca4d7582,camara,camara,PL 2455/2020
c03e77b32dc55cd4ad80304fb695b32c,senado,camara,MPV 972/2020
d84d49e854f3c51613f2a70b278100ea,camara,camara,PL 1180/2020
cec80148002502e958d645a507a12a29,camara,camara,PEC 439/2018
a52f02bf9bde160a2edaa80e8a66869d,camara,camara,PL 1273/2020
ceb495c4a90f27cf40497d489d12e1cd,camara,camara,PL 1739/2020
18d66a74c15306a3fa35f9ba00c29ea2,camara,camara,MPV 965/2020
76f4a4e8c75077c80a2346f9ce1879df,camara,camara,MPV 952/2020
2ae0402adf09a509fb0d1d8a46280632,camara,camara,PL 1494/2020
1cdecfd90a4e8ebf812c2f8664dd65a0,senado,camara,MPV 997/2020
425268d30c860649b4ec6e9630a728f5,camara,camara,PDL 101/2020
3ab90dcb68f006dfddf740ef611be18d,camara,camara,PL 1318/2020
fc822f1a70ffc888fe9986978337d54a,camara,camara,PL 2565/2019
a2f8204ec3923dc49d2a1c82803efe57,camara,camara,PL 1112/2020
d50e1e64f5a683a1e085e0a1060cc78d,camara,camara,PL 2810/2020
a87bf26e5938e23bdcc89aa02f26e43f,camara,camara,PL 2058/2020
bcac8696f03904da02918b8e7e260dd9,camara,camara,PL 985/2020
356fc4c15a10ee8aa8650fb43de96720,camara,camara,PL 6444/2019
79ed1f21250d33e4199ffda273d36271,camara,camara,PL 1684/2020
082af2dd67a9b98208b61c66a65c2547,camara,camara,PL 2476/2020
e630fd9d042f35b2a688b9a907ac66e3,camara,camara,PL 1558/2020
7872e0b131ef579268363af5cc377cc4,camara,camara,PL 1990/2020
5f736edb278a7fec56e2e63544c62825,camara,camara,PL 1154/2020
65fa629aa98ff8cf2108fff99e4d8c8a,camara,camara,PL 1962/2020
62bb4cf52ca521ada6d5ef6fdf024589,camara,camara,MPV 930/2020
3708a0fb65453380e5591b581033d35f,camara,camara,PL 3887/2020
8da5734330cbe80f1fead7291b2a0fea,camara,camara,PL 3964/2020
f236e211d1f86fb8afdf373d77a9c71c,camara,camara,PL 4752/2019
ed5b51ab8181f4c455f2126ef459fbbe,camara,camara,PL 2789/2020
acd7d04ce97fae1ce6c5cc1cc73dd63d,camara,camara,PL 1905/2020
db55176bbb469639dc16b129627515d8,camara,camara,PL 3117/2020
c8c83a4dd925592e479fa7d17ae28a9a,camara,camara,PLP 167/2020
aca1d119ae12d7ac43b474e43990269e,camara,camara,PL 2159/2020
fdcf2b6c60533ef0f0760fb029cc36fb,camara,camara,PL 1036/2020
e0e795c5e727f9d03398cad1c8d003b8,camara,camara,PL 750/2020
98b96ea6ceca4c920e3770d31a453fd2,camara,camara,PL 693/2020
ab74fd0a33d20a6be8c1274f14cbd2ea,camara,camara,PL 2968/2020
63d11f908ec58e82f3886950c3807fe3,camara,camara,PL 7364/2014
f296ede794b8aecc8fad916bb3c64565,camara,camara,PL 3171/2020
9901beddb12c073bee481f8e8d1cd4c0,camara,camara,PL 2770/2020
86d86b3b94f53f9192d7ab8bcdf47b53,camara,camara,PL 1267/2020
db0f60d062003deba207dd96030581d9,camara,camara,PL 3823/2020
46d482171e61af9480e60eb276aa8096,camara,camara,PL 3114/2020
eeccb0875b3a84cf4211502b334a4316,senado,camara,MPV 927/2020
f11cbc363d206e4e8af8f64f771a519d,senado,camara,MPV 977/2020
916b05c344936c7a0490c2995ebc115c,camara,camara,PL 2080/2020
2f9960c5629a3e520b7b475dc6ccc4a9,senado,camara,MPV 993/2020
9d2e8ab4e2083fb9d5c6d1efc304f842,camara,camara,PL 2807/2020
4dc10a806336a32a92eb07326010fa94,camara,camara,PL 3538/2020
f68848eb3c9393fce88a6b2dfd7b8919,senado,senado,PL 1542/2020
2b2475eac4b0bd50f918639f5bf416af,camara,camara,PL 1462/2020
afc1b6b3de679e56bccdedb225dce0cb,camara,NA,PDC 1154/2018
368a48494a7a66287d6d70ca967ed17a,senado,camara,MPV 995/2020
fe023e3805b6813b31245b69387ee27a,camara,camara,PL 2279/2020
e0483d4d439edf144ac8cb14cf496bf1,camara,camara,MPV 985/2020
6b69b0feb1dffdd387e34705928b9325,camara,camara,PL 1309/2020
556ae3e5173a9d96003aa16281c44f69,senado,senado,PLS 436/2018
583a7a56094144599313ad2ed42a37fb,camara,camara,PL 3263/2020
c759c332a7aa3439606dc0625e39642e,camara,camara,PL 1667/2020
c1c70166fcb5a5d866939da035224055,camara,camara,PL 2394/2020
c11adf16e7290696193023c4db09738b,camara,camara,PL 3501/2020
fa8f37a9cb1681a4775a2416dba73fa5,camara,camara,PL 2558/2020
e92223f9c5e4b0694b1149511a6a8fd3,camara,camara,PL 1995/2020
86f049acfb68df14f82d8280548e24a8,camara,camara,PL 1085/2020
627993e6465b73a30b1e518f70ab0618,senado,senado,PL 1179/2020
1bc118369be59b1c53d00e2c3149ab77,camara,camara,PL 4579/2019
c2c14659e54e1600011367e4d8fe7949,camara,camara,PL 1000/2020
9e8545992cf8214a24ab863a112871d7,camara,camara,PL 3163/2020
dc6845bd5bc48802f30baefadad1bb79,camara,camara,PL 1272/2020
fedb75a55ed2b4e98a5d7b99e6a13fab,camara,camara,PL 2843/2020
aba9b5dca4b8402d6a9c0c248035af26,camara,camara,MPV 931/2020
a73c7c5b9b16b9e4319e94bd54602899,camara,camara,PDL 385/2020
89ce154e0c22c69479594f5718be7b1f,camara,camara,PL 1161/2020
